Index	Name	AttribID	AttackSpeed	MaxLife	FightPower	Miss	HitRate	MinBaseAttack	MaxBaseAttack	WoodDamage	WaterDamage	FireDamage	EarthDamage	WoodResist	WaterResist	FireResist	EarthResist	DeadlyStrike	MetalDamage	MetalResist	SeriesDamageValue
Elite_fb_normal	精英关卡普通	501	15	{10,700},    {14,1500},    {20,3000},    {30,8000},    {40,10000},    {100,100000},    {110,120000}	0	0	{10,1000},{100,2800},{150,7000}	{10,45},  {20,100},{30,200},{40,500},{50,700}	{10,45},  {20,100},{30,200},{40,500},{50,700}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Elite_fb_tiny	精英关卡弱	502	15	{10,700*0.5},{14,1500*0.5},{20,3000*0.5},{30,8000*0.5},{40,10000*0.5},{100,100000*0.5},{110,120000*0.5}	0	0	{10,1000},{100,2800},{150,7000}	{10,45},  {20,100},{30,200},{40,500},{50,700}	{10,45},  {20,100},{30,200},{40,500},{50,700}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Elite_fb_elite	精英关卡精英	503	15	{10,700*2},  {14,1500*2},  {20,3000*2},  {30,8000*2},  {40,10000*2},  {100,100000*2},  {110,120000*2}	0	0	{10,1000},{100,2800},{150,7000}	{10,45},  {20,100},{30,200},{40,500},{50,700}	{10,45},  {20,100},{30,200},{40,500},{50,700}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Elite_fb_captain	精英关卡首领	504	15	{10,700*3},  {14,1500*3},  {20,3000*3},  {30,8000*3},  {40,10000*3},  {100,100000*3},  {110,120000*3}	0	0	{10,1000},{100,2800},{150,7000}	{10,45},  {20,100},{30,200},{40,500},{50,700}	{10,45},  {20,100},{30,200},{40,500},{50,700}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Elite_fb_boss	精英关卡BOSS	505	15	{10,700*10}, {14,1500*10}, {20,3000*10}, {30,8000*13}, {40,10000*13}, {100,100000*13}, {110,120000*13}	0	0	{10,1000},{100,2800},{150,7000}	{10,45*2},{20,100*2},{30,200*2},{40,500*2},{50,700*2}	{10,45*2},{20,100*2},{30,200*2},{40,500*2},{50,700*2}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Leader	地宫首领	601	15	{20,8000*30}, {30,12000*30}, {40,30000*30},{50,60000*30}, {60,120000*30}, {70,180000*30}, {80,250000*30}, {90,300000*30}, {100,360000*30}, {110,450000*30}, {120,600000*30}	0	0	{10,1000},{100,2800},{150,7000}	{20,120},{30,200},{40,700},{50,1200},{60,1600},{70,2000},{80,2400},{90,2800},{100,3200},{110,4000}	{20,120},{30,200},{40,700},{50,1200},{60,1600},{70,2000},{80,2400},{90,2800},{100,3200},{110,4000}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Leader2	野外首领	602	15	{20,10000*120}, {30,12000*120}, {40,30000*120},{50,60000*120}, {60,120000*120}, {70,180000*120}, {80,250000*120}, {90,300000*120}, {100,360000*120}, {110,450000*120}, {120,600000*120}	0	0	{10,1000},{100,2800},{150,7000}	{20,120},{30,200},{40,700},{50,1200},{60,1600},{70,2000},{80,2400},{90,2800},{100,3200},{110,4000}	{20,120},{30,200},{40,700},{50,1200},{60,1600},{70,2000},{80,2400},{90,2800},{100,3200},{110,4000}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Tomb_Normal	秦陵小怪	651	15	{60,70000*12},{70,90000*12},{80,200000*12},{85,240000*12},{95,340000*12},{105,375000*12},{115,485000*12},{125,550000*12}	0	{60,1000},{70,1400},{80,1600},{90,2000},{100,2500},{110,3500},{120,5000}	{10,1000},{100,2800},{150,7000}	{60,1000*3},{70,1600*3},{80,2400*3},{90,4000*3},{100,6000*3},{110,9000*3},{120,13000*3}	{60,1000*3},{70,1600*3},{80,2400*3},{90,4000*3},{100,6000*3},{110,9000*3},{120,13000*3}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,1000},{120,2000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,1000},{120,2000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,1000},{120,2000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,1000},{120,2000}	{50,250*2},{60,300*2},{70,500*2},{80,600*2},{90,800*2},{120,1500*2}			
Tomb_Elite	秦陵头目	652	15	{60,70000*35},{70,90000*35},{80,200000*35},{85,240000*35},{95,340000*35},{105,375000*35},{115,485000*35},{125,550000*35}	0	{60,1000},{70,1400},{80,1600},{90,2000},{100,2500},{110,3500},{120,5000}	{10,1000},{100,2800},{150,7000}	{60,1000*6},{70,1600*6},{80,2400*6},{90,4000*6},{100,6000*6},{110,9000*6},{120,13000*6}	{60,1000*6},{70,1600*6},{80,2400*6},{90,4000*6},{100,6000*6},{110,9000*6},{120,13000*6}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,1000},{120,2000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,1000},{120,2000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,1000},{120,2000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,1000},{120,2000}	{50,250*2},{60,300*2},{70,500*2},{80,600*2},{90,800*2},{120,1500*2}			
Tomb_captain	秦陵密室首领	653	15	{60,15000*640},{70,25000*640},{80,35000*640},{90,55000*640},{100,60000*640},{110,90000*640},{120,130000*640}	0	0	{10,1000},{100,2800},{150,7000}	{20,120*5},{30,250*5},{40,400*5},{50,650*5},{60,1100*5},{70,1600*5},{80,2100*5},{90,2600*5},{100,3100*5},{110,4000*5}	{20,120*5},{30,250*5},{40,400*5},{50,650*5},{60,1100*5},{70,1600*5},{80,2100*5},{90,2600*5},{100,3100*5},{110,4000*5}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Tomb_Boss1	秦陵三个首领	654	15	{60,500000*420}, {70,800000*420}, {80,1000000*420}, {100,1200000*420}, {110,1800000*420}, {120,2500000*420}, {130,3000000*420}	0	0	{10,1000},{100,2800},{150,7000}	{20,120*2},{30,200*2},{40,700*2},{50,1200*2},{60,1600*2},{70,2000*2},{80,2400*2},{90,2800*2},{100,3200*2},{110,4000*2}	{20,120*2},{30,200*2},{40,700*2},{50,1200*2},{60,1600*2},{70,2000*2},{80,2400*2},{90,2800*2},{100,3200*2},{110,4000*2}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Tomb_Boss2	秦陵BOSS-秦始皇	655	15	{60,500000*600}, {70,800000*600}, {80,1000000*600}, {100,1200000*600}, {110,1800000*600}, {120,2500000*600}, {130,3000000*600}	0	0	{10,1000},{100,2800},{150,7000}	{20,120*2},{30,200*2},{40,700*2},{50,1200*2},{60,1600*2},{70,2000*2},{80,2400*2},{90,2800*2},{100,3200*2},{110,4000*2}	{20,120*2},{30,200*2},{40,700*2},{50,1200*2},{60,1600*2},{70,2000*2},{80,2400*2},{90,2800*2},{100,3200*2},{110,4000*2}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Tomb_Callnpc1	秦陵召唤怪	656	15	{1,220*2},  {20,8000*2},  {40,30000*2},  {50,40000*2},   {60,55000*2},  {70,75000*2},  {100,100000*2},  {110,130000*2},  {120,160000*2}	0	0	{10,1000},{100,2800},{150,7000}	{20,120*2},{30,200*2},{40,700*2},{50,1200*2},{60,1600*2},{70,2000*2},{80,2400*2},{90,2800*2},{100,3200*2},{110,4000*2}	{20,120*2},{30,200*2},{40,700*2},{50,1200*2},{60,1600*2},{70,2000*2},{80,2400*2},{90,2800*2},{100,3200*2},{110,4000*2}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Tomb_Callnpc2	秦陵召唤白起	657	15	{1,220*2},  {20,8000*2},  {40,30000*2},  {50,40000*2},   {60,55000*2},  {70,75000*2},  {100,100000*2},  {110,130000*2},  {120,160000*2}	0	0	{10,1000},{100,2800},{150,7000}	{20,120*1},{30,200*1},{40,700*1},{50,1200*1},{60,1600*1},{70,2000*1},{80,2400*1},{90,2800*1},{100,3200*1},{110,4000*1}	{20,120*1},{30,200*1},{40,700*1},{50,1200*1},{60,1600*1},{70,2000*1},{80,2400*1},{90,2800*1},{100,3200*1},{110,4000*1}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Tomb_Boss3	秦陵BOSS-秦始皇伪帝	658	15	{60,500000*240}, {70,800000*240}, {80,1000000*240}, {100,1200000*240}, {110,1800000*240}, {120,2500000*240}, {130,3000000*240}	0	0	{10,1000},{100,2800},{150,7000}	{20,120*2},{30,200*2},{40,700*2},{50,1200*2},{60,1600*2},{70,2000*2},{80,2400*2},{90,2800*2},{100,3200*2},{110,4000*2}	{20,120*2},{30,200*2},{40,700*2},{50,1200*2},{60,1600*2},{70,2000*2},{80,2400*2},{90,2800*2},{100,3200*2},{110,4000*2}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Tomb_Boss4	女帝三个首领	659	15	{60,500000*588}, {70,800000*588}, {80,1000000*588}, {100,1200000*588}, {110,1500000*588}, {120,2500000*588}, {130,3000000*588}	0	0	{10,1000},{100,2800},{150,7000}	{20,120*2},{30,200*2},{40,700*2},{50,1200*2},{60,1600*2},{70,2000*2},{80,2400*2},{90,2800*2},{100,3200*2},{110,4000*2}	{20,120*2},{30,200*2},{40,700*2},{50,1200*2},{60,1600*2},{70,2000*2},{80,2400*2},{90,2800*2},{100,3200*2},{110,4000*2}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Boss	野外BOSS	701	15	{20,30000*120}, {30,36000*120}, {40,90000*120},{50,300000*120}, {60,500000*120}, {70,800000*120}, {80,1000000*120}, {100,1200000*120}, {110,1800000*120}, {120,2200000*120}	0	0	{10,1000},{100,2800},{150,7000}	{20,120*2},{30,200*2},{40,700*2},{50,1200*2},{60,1600*2},{70,2000*2},{100,2500*2},{110,3000*2}	{20,120*2},{30,200*2},{40,700*2},{50,1200*2},{60,1600*2},{70,2000*2},{100,2500*2},{110,3000*2}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Boss2	野外BOSS	702	15	{20,30000*150}, {30,36000*150}, {40,90000*150},{50,300000*150}, {60,500000*150}, {70,800000*150}, {80,1000000*150}, {100,1200000*150}, {110,1800000*150}, {120,2200000*150}	0	0	{10,1000},{100,2800},{150,7000}	{20,120*2},{30,200*2},{40,700*2},{50,1200*2},{60,1600*2},{70,2000*2},{100,2500*2},{110,3000*2}	{20,120*2},{30,200*2},{40,700*2},{50,1200*2},{60,1600*2},{70,2000*2},{100,2500*2},{110,3000*2}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Boss3	野外BOSS	703	15	{20,30000*180}, {30,36000*180}, {40,90000*180},{50,300000*180}, {60,500000*180}, {70,800000*180}, {80,1000000*180}, {100,1200000*180}, {110,1800000*180}, {120,2200000*180}	0	0	{10,1000},{100,2800},{150,7000}	{20,120*2},{30,200*2},{40,700*2},{50,1200*2},{60,1600*2},{70,2000*2},{100,2500*2},{110,3000*2}	{20,120*2},{30,200*2},{40,700*2},{50,1200*2},{60,1600*2},{70,2000*2},{100,2500*2},{110,3000*2}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Boss4	跨服名将召唤怪	704	15	{20,30000*180*0.333}, {30,36000*180*0.333}, {40,90000*180*0.333},{50,300000*180*0.333}, {60,500000*180*0.333}, {70,800000*180*0.333}, {80,1000000*180*0.333}, {100,1200000*180*0.333}, {110,1500000*180*0.333}, {120,1800000*180*0.333}	0	0	{10,1000},{100,2800},{150,7000}	{20,120*2},{30,200*2},{40,700*2},{50,1200*2},{60,1600*2},{70,2000*2},{100,2500*2},{110,3000*2}	{20,120*2},{30,200*2},{40,700*2},{50,1200*2},{60,1600*2},{70,2000*2},{100,2500*2},{110,3000*2}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
XMHJ_Normal	心魔幻境小怪	751	15	{80,320000}	0	0	{10,1000},{100,2800},{150,7000}	 {80,500}	 {80,500}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
XMHJ_Leader	心魔幻境首领	752	15	{80,500000*3.5}	0	0	{10,1000},{100,2800},{150,7000}	 {80,800}	 {80,800}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
XMHJ_Boss	心魔幻境BOSS	753	15	{80,500000*10}	0	0	{10,1000},{100,2800},{150,7000}	 {80,1200}	 {80,1200}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
XMHJ_Trap	心魔幻境陷阱	754	15	{20,3000*70},{30,4000*70},{40,5000*70},{50,10000*70},{60,15000*70},{70,25000*70},{80,35000*70},{90,55000*70},{100,60000*70},{110,75000*70}	0		{10,1000},{100,2800},{150,7000}	 {80,3000}	 {80,3000}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Wlmz	武林盟主	801	15	{20,5000000},{40,5000000}	0	0	{10,1000},{100,2800},{150,7000}	{20,2000},{30,3500},{40,4500},{50,6600},{60,8400},{70,10000},{80,12000},{90,15000},{100,18000},{110,25000}	{20,2000},{30,3500},{40,4500},{50,6600},{60,8400},{70,10000},{80,12000},{90,15000},{100,18000},{110,25000}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
KinFuben_Normal	家族试炼普通	811	15	{1,220},    {20,8000},    {40,35000},    {50,60000},    {60,80000},    {70,100000},    {80,140000},    {90,140000},    {100,160000},    {110,200000},    {120,250000}	0	0	{10,1000},{100,2800},{150,7000}	{20,100},    {30,300},    {40,550},    {50,800},    {100,1200},    {110,1800}	{20,100},    {30,300},    {40,550},    {50,800},    {100,1200},    {110,1800}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
KinFuben_captain_1	家族试炼首领	812	15	{1,220*8}, {20,8000*8}, {40,35000*8}, {50,60000*8}, {60,80000*8}, {70,100000*8}, {80,140000*8}, {90,140000*8}, {100,160000*8}, {110,200000*8}, {120,250000*8}	0	0	{10,1000},{100,2800},{150,7000}	{20,100*1.5},{30,300*2},{40,550*2},{50,800*1.5},{100,1200*1.5},{110,1800*1.5}	{20,100*1.5},{30,300*2},{40,550*2},{50,800*1.5},{100,1200*1.5},{110,1800*1.5}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
KinFuben_captain_2	家族试炼首领(弱）	813	15	{1,220*5},  {20,8000*5},  {40,35000*5},  {50,60000*5},  {60,80000*5},  {70,100000*5},  {80,140000*5},  {90,140000*5},  {100,160000*5},  {110,200000*5},  {120,250000*5}	0	0	{10,1000},{100,2800},{150,7000}	{20,100*1.3},{30,300*1.7},{40,550*1.7},{50,800*1.5},{100,1200*1.5},{110,1800*1.5}	{20,100*1.3},{30,300*1.7},{40,550*1.7},{50,800*1.5},{100,1200*1.5},{110,1800*1.5}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
KinFuben_captain_3	家族试炼首领(弱弱）	814	15	{1,220*3},  {20,8000*3},  {40,35000*3},  {50,60000*3},  {60,80000*3},  {70,100000*3},  {80,140000*3},  {90,140000*3},  {100,160000*3},  {110,200000*3},  {120,250000*3}	0	0	{10,1000},{100,2800},{150,7000}	{20,100*1.3},{30,300*1.7},{40,550*1.7},{50,800*1.5},{100,1200*1.5},{110,1800*1.5}	{20,100*1.3},{30,300*1.7},{40,550*1.7},{50,800*1.5},{100,1200*1.5},{110,1800*1.5}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
KinFuben_Boss	野外BOSS	815	15	{20,30000*120}, {30,36000*120}, {40,90000*120},{50,180000*120},{60,240000*120},{70,300000*120},{80,360000*120},{100,420000*120},{110,500000*120},{120,650000*120}	0	0	{10,1000},{100,2800},{150,7000}	{20,120*2},{30,200*2},{40,700*2}	{20,120*2},{30,200*2},{40,700*2}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Qymj_normal	奇遇秘境普通	901	15	{5,300},{10,600},   {20,3000},   {30,4000},   {40,6000},   {100,40000},   {110,50000},   {120,65000}	0	0	{10,1000},{100,2800},{150,7000}	{10,60},{20,120},{30,180},{40,350},{50,520},{100,1000},{110,1100}	{10,60},{20,120},{30,180},{40,350},{50,520},{100,1000},{110,1100}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
