nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat
137	MainTask1_137	[主]再遇薔薇	飛龍堡的人竟然抓走了薔薇姑娘，這又是鬧的哪出？月姑娘若不是女兒之身，我都以為這是要選堡主夫人了……	詢問[FFFE0D]薔薇[-]到底是怎麼回事	詢問[FFFE0D]薔薇[-]到底是怎麼回事	[url=clientnpcbyidx:test, 231]	[url=clientnpcbyidx:test, 231]	70|231	231	136	138	6135								Exp|30000			1	1												
138	MainTask1_138	[主]疑竇叢生	此事頗為古怪，就算月眉兒和楊兄有仇，也不至於得罪孟知秋，其中一定有什麼原因，先帶薔薇姑娘回去找孟知秋吧！	帶薔薇回去找[FFFE0D]孟知秋[-]	帶薔薇回去找[FFFE0D]孟知秋[-]	[url=clientnpcbyidx:test, 103]	[url=clientnpcbyidx:test, 103]	70|103|232	103|232	137	139	6137						1	1	Exp|30000;Item|212|5;ComposeValue|1|5			1	1												
139	MainTask1_139	[主]不退反進	真是奇怪，莫非是月姑娘知道薔薇姑娘喜歡楊兄，所以才擄走了薔薇姑娘？可是……難道月姑娘也喜歡上了楊兄？	看看[FFFE0D]納蘭姑娘回來沒有[-]	看看[FFFE0D]納蘭姑娘回來沒有[-]	[url=pos:test,403,3030,8240]	[url=pos:test,403,3030,8240]	70|234	234	138	140				1					Exp|12000			1	1	[url=dialog:test, 6138]				498							
140	MainTask1_140	[主]掌上明珠	看起來鐵雲管家似乎有些著急，莫非是出了什麼事？趕緊問問！	詢問[FFFE0D]管家鐵雲[-]有什麼事	詢問[FFFE0D]管家鐵雲[-]有什麼事	[url=clientnpcbyidx:test, 233]	[url=clientnpcbyidx:test, 233]	70|233|248	233	139	141	6139								Exp|12000			1	1												
141	MainTask1_141	[主]死而復生	這麼著急到底是要去見誰？難道……卓非凡還沒死？一切都是他的陰謀？不可能啊！當日楊兄分明已經……先去看看再說！	前往[FFFE0D]凌絕峰[-]赴約	前往[FFFE0D]凌絕峰[-]赴約	[url=goanddosomething:test, 498, 1800, 3000, gotofuben, 3, 4, 1]		70|234|248	234	140	142			3|4|1	1			1		Exp|90000			1	1												
142	MainTask1_142	[主]驚人之變	這……看來納蘭姑娘之前確實是和月姑娘一起，但是看起來她對月眉兒姑娘頗為友善，並不像是被抓走的樣子，問問她是怎麼回事！	詢問[FFFE0D]納蘭真[-]怎麼回事	詢問[FFFE0D]納蘭真[-]怎麼回事	[url=clientnpcbyidx:test, 85]	[url=clientnpcbyidx:test, 85]	70|85|248	85|248	141	143	134						1	1	Exp|12000;Item|1258|1			1	1												
143	MainTask1_143	[主]妙手神醫	月姑娘身上的傷很重，恐怕只有胡神醫才能就她！得趕緊將她送回忘憂島才行！	帶重傷的月眉兒找[FFFE0D]胡神醫[-]	帶重傷的月眉兒找[FFFE0D]胡神醫[-]	[url=npc:testtt,$F,999]	[url=npc:testtt,$F,999]	70|86|95	86|95	142	144	135	417							Exp|12000			1	1												
144	MainTask1_144	[主]有事相求	唉，先天功力……這世上恐怕除了那幾位不知所蹤的雲遊大俠以外，就只有孟知秋有這份功力了，希望他會願意幫忙！	去找[FFFE0D]孟知秋[-]求助	去找[FFFE0D]孟知秋[-]求助	[url=clientnpcbyidx:test, 103]	[url=clientnpcbyidx:test, 103]	70|103	103	143	145	136								Exp|12000			1	1	[url=dialog:test, 6136]											
145	MainTask1_145	[主]掌上明珠	想不到孟知秋竟然提出這種要求，看來他對掌上明珠的疼愛遠勝其他，難怪薔薇姑娘這麼刁蠻，希望這次她能夠深明大義幫我們一回！	去找[FFFE0D]薔薇[-]求助	去找[FFFE0D]薔薇[-]求助	[url=clientnpcbyidx:test, 79]	[url=clientnpcbyidx:test, 79]	70|79	79|	144	146	137								Exp|12000			1	1												
146	MainTask1_146	[主]應對之法	有薔薇姑娘幫忙說話，孟知秋總不能這麼不近人情，這次應該答應我們了吧？	再去求助[FFFE0D]孟知秋[-]	再去求助[FFFE0D]孟知秋[-]	[url=clientnpcbyidx:test, 103]	[url=clientnpcbyidx:test, 103]	70|80|103	80|103	145	147	138								Exp|12000			1	1												
147	MainTask1_147	[主]靜靜等候	不知道裡面的情況怎麼樣了，若是月眉兒沒能成功救活，恐怕會成為楊兄一生的夢魘！	在一旁等候[FFFE0D]薔薇[-]出來	在一旁等候[FFFE0D]薔薇[-]出來	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|234	234	146	148				1	1	140			Exp|12000			1	1	[url=dialog:test, 139]											
148	MainTask1_148	[主]重返忘憂	幸好一切順利，接下裡只要為月姑娘找到銀絲草就萬事大吉了，希望納蘭姑娘已經找全了！	帶月眉兒回去找[FFFE0D]納蘭真[-]	帶月眉兒回去找[FFFE0D]納蘭真[-]	[url=npc:testtt,$F,999]	[url=npc:testtt,$F,999]	70|76	70|76	147	149	140	418							Exp|12000			1	1												
149	MainTask1_149	[主]靜候片刻	月眉兒姑娘性格堅強，一定能夠成功闖過鬼門關，不過說起來還真奇怪，總覺得月姑娘和納蘭姑娘有一些相似，難道是我的錯覺？	將藥材交給[FFFE0D]胡神醫[-]	將藥材交給[FFFE0D]胡神醫[-]	[url=npc:testtt,$F,999]	[url=npc:testtt,$F,999]	66	66	148	150	6140	417				142			Exp|12000			1	1	[url=dialog:test, 6141]											
150	MainTask1_150	[主]詢問意圖	納蘭姑娘怎麼會出現在這裡？看起來心事重重的，問問她怎麼回事。	問問[FFFE0D]納蘭姑娘[-]準備去哪	問問[FFFE0D]納蘭姑娘[-]準備去哪	[url=taskitem:test, $T]	[url=taskitem:test, $T]	66|235	66|235	149	151				1	1	141			Exp|12000			1	1	[url=dialog:test, 141]											
151	MainTask1_151	[主]少女身世	原來如此，月姑娘和納蘭姑娘竟然是同母異父的姐妹，難怪……不知道月姑娘的傷勢怎麼樣了……	去看看[FFFE0D]月眉兒[-]	去看看[FFFE0D]月眉兒[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	66|236	66|236	150	152				1	1	143			Exp|12000			1	1	[url=dialog:test, 142]											
152	MainTask1_152	[主]前去迎接	奇怪，納蘭姑娘怎麼去了這麼久還沒回來，莫非是遇見了什麼意外？得趕緊去看看！	看看[FFFE0D]納蘭真[-]怎麼還沒回來	看看[FFFE0D]納蘭真[-]怎麼還沒回來	[url=taskitem:test, $T]	[url=taskitem:test, $T]	66|238		151	153				1	1	144			Exp|12000			1	1	[url=dialog:test, 143]											
153	MainTask1_153	[主]奸佞小人	納蘭姑娘竟然被打傷了！看起來傷勢不重，得問問到底是誰下的手！	問問[FFFE0D]納蘭真[-]發生了什麼事	問問[FFFE0D]納蘭真[-]發生了什麼事	[url=npc:testtt,$F,999]	[url=npc:testtt,$F,999]	66|237|238	238	152	154	144	418							Exp|12000			1	1	[url=openwnd:test, ChapterPanel, "ChapterTitle_03"]											
154	MainTask1_154	[主]敗絮其中	想不到孟知秋竟然這麼卑鄙無恥！為了「武道德經」竟然對一個弱質女流下手！我定要討回公道！	質問[FFFE0D]孟知秋[-]為何傷納蘭真	質問[FFFE0D]孟知秋[-]為何傷納蘭真	[url=clientnpcbyidx:test, 103]	[url=clientnpcbyidx:test, 103]	70|100|103	100|103	153	155	145								Exp|12000			1	1												
155	MainTask1_155	[主]探訪真相	天星道長是武林公認的正派總堂主，有他作證的話一定假不了，不管如何，先去找天星道長問個明白吧！	尋找[FFFE0D]天星道長[-]問個明白	尋找[FFFE0D]天星道長[-]問個明白	[url=clientnpcbyidx:test, 101]	[url=clientnpcbyidx:test, 101]	70|78|101|104	101|104	154	156	146								Exp|12000			1	1												
156	MainTask1_156	[主]撲朔迷離	唉，此事真是撲朔迷離，先回忘憂島看看納蘭姑娘的傷勢，順便問問看有沒有其他線索吧。	[FFFE0D]回忘憂島[-]看看納蘭真	[FFFE0D]回忘憂島[-]看看納蘭真	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|78|102|109	102	155	157				1	1	148			Exp|12000			1	1	[url=dialog:test, 147]											
157	MainTask1_157	[主]無心插柳	奇怪，紫軒姑娘怎麼會出現在此處？去問問她發生了什麼事！	詢問[FFFE0D]紫軒[-]為什麼會在這裡	詢問[FFFE0D]紫軒[-]為什麼會在這裡	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|78|92|109		156	158				1	1	149			Exp|12000			1	1	[url=dialog:test, 148]											
158	MainTask1_158	[主]老謀深算	想不到竟然是這樣……納蘭島主竟然是一個這麼有野心的人……不知道楊兄打算怎麼辦。	先回[FFFE0D]忘憂島[-]看看	先回[FFFE0D]忘憂島[-]看看	[url=pos:test,403,9450,3240]	[url=pos:test,403,9450,3240]	70|78|92|109	92	157	159				1					Exp|12000			1	1					999							
159	MainTask1_159	[主]尋訪真相	此事雖然聽起來十分可信，但畢竟不是親眼所見，理應前去無憂教禁地，看看真相到底是什麼！	前往[FFFE0D]無憂教禁地[-]	前往[FFFE0D]無憂教禁地[-]	[url=pos:test,999,6990,4220]	[url=pos:test,999,6990,4220]	66|109		158	160				1		152			Exp|12000			1	1	[url=dialog:test, 151]				495							
160	MainTask1_160	[主]無憂禁地	當時一別，如今已是過了許久，唉，我竟有物是人非之感，進去看看吧！	擊退[FFFE0D]無憂護法[-]	擊退[FFFE0D]無憂護法[-]	[url=npcanddosomething:test,1147,495,autofight,1]		66|109|239|240	66|109	159	161				1					Exp|48000	1147|3	1	1	1	[url=dialog:test,152]											
161	MainTask1_161	[主]英雄救美	她們應該就在無憂教禁地的深處，我得趕緊窗進入將她們就出來！	深入[FFFE0D]無憂教禁地[-]救出兩女	深入[FFFE0D]無憂教禁地[-]救出兩女	[url=goanddosomething:test,495,10000,5400,gotofuben,3,5,1]		239|240	239|240	160	162			3|5|1	1			1		Exp|90000			1	1												
162	MainTask1_162	[主]如何是好	功虧一簣，納蘭島……納蘭潛凜果然是老謀深算！想不到他竟然是這樣的人！問問楊兄接下來怎麼辦！	詢問[FFFE0D]楊影楓[-]如何是好	詢問[FFFE0D]楊影楓[-]如何是好	[url=clientnpcbyidx:test, 241]	[url=clientnpcbyidx:test, 241]	241	241	161	163	155						1	1	Exp|12000;Item|1033|1;ComposeValue|1|7			1	1												
163	MainTask1_163	[主]以退為進	楊兄說得對，我們還處在無憂教的大本營中，還是得先離開這兒，否則一會恐怕要脫身就難了！	先[FFFE0D]離開這兒[-]再說	先[FFFE0D]離開這兒[-]再說	[url=taskitem:test, $T]	[url=taskitem:test, $T]	242		162	164				1	1	157			Exp|12000			1	1	[url=dialog:test, 156]											
164	MainTask1_164	[主]二敗無憂	不好！有埋伏！這些無憂教的人真是莫名其妙，明知道不可能留得住我們，卻還是悍不畏死！真是可怕！	衝破[FFFE0D]無憂護法[-]埋伏	衝破[FFFE0D]無憂護法[-]埋伏	[url=npcanddosomething:test, 1147, 495, autofight, 1]		242		163	165				1					Exp|36000	1147|3	1	1	1	[url=dialog:test, 158]											
165	MainTask1_165	[主]無可奈何	可惡，這分明是陷阱，想要將我們引去後一網打盡，若是去，就正中他們下懷，但若是不去……她們又……唉！問問楊兄怎麼辦才好！	得趕緊[FFFE0D]離開這兒[-]	得趕緊[FFFE0D]離開這兒[-]	[url=pos:test,495,1500,5100]	[url=pos:test,495,1500,5100]	242	242	164	166				1					Exp|12000			1	1					403							
166	MainTask1_166	[主]求助於人	孟大俠乃是如今中原武林的總堂主，若是有他幫忙，再集結一批武功高強的俠士，一定能徹底摧毀無憂教！	找[FFFE0D]孟知秋[-]幫忙	找[FFFE0D]孟知秋[-]幫忙	[url=clientnpcbyidx:test, 103]	[url=clientnpcbyidx:test, 103]	70|103	103	165	167	159								Exp|12000			1	1												
167	MainTask1_167	[主]意外之變	想不到孟大俠竟然也……納蘭潛凜非但心狠手辣，而且行事迅速，決不手軟，當真可怕！不過不管如何，都必須救出她們！	前往[FFFE0D]摘星樓[-]準備救人	前往[FFFE0D]摘星樓[-]準備救人	[url=pos:test,403,15430,11100]	[url=pos:test,403,15430,11100]	104	104	166	168				1					Exp|12000			1	1					496							
168	MainTask1_168	[主]無憂死士	不知道她們被囚禁在什麼地方，這裡面危機重重，得趕緊找到她們，反正也躲不掉，不如從這些人口中問出來好了！	擊敗[FFFE0D]無憂死士[-]	擊敗[FFFE0D]無憂死士[-]	[url=npcanddosomething:test, 1148, 496, autofight, 1]				167	169				1					Exp|36000	1148|3	1	1	1	[url=dialog:test, 161]											
169	MainTask1_169	[主]千里相救	想不到竟然在這裡得知了紫軒姑娘被囚禁的消息，先把她救出來再說！	前往[FFFE0D]摘星樓深處[-]	前往[FFFE0D]摘星樓深處[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]			168	170				1	1	163			Exp|12000			1	1												
170	MainTask1_170	[主]意料之外	真是奇怪，先前那些無憂教弟子悍不畏死，這些號稱無憂教死士的人反而軟弱膽小，算了，先救出紫軒再說吧！	營救被關押的[FFFE0D]紫軒[-]	營救被關押的[FFFE0D]紫軒[-]	[url=goanddosomething:test, 496, 9000, 10600, gotofuben, 3, 6, 1]				169	171			3|6|1	1			1		Exp|90000			1	1												
171	MainTask1_171	[主]詢問行蹤	紫軒看起來並沒有受傷，只是有些虛弱，希望她知道納蘭姑娘和月姑娘在哪兒！	詢問[FFFE0D]紫軒[-]她們在哪裡	詢問[FFFE0D]紫軒[-]她們在哪裡	[url=clientnpcbyidx:test, 243]	[url=clientnpcbyidx:test, 243]	243	243	170	172	164						1	1	Exp|12000;Item|1093|1			1	1												
172	MainTask1_172	[主]護花使者	剛跳出一個陷阱，接下來恐怕又要跳入另一個陷阱裡了，希望這次也能夠成功將她們救出吧！	先送[FFFE0D]紫軒[-]離開這裡	先送[FFFE0D]紫軒[-]離開這裡	[url=taskitem:test, $T]	[url=taskitem:test, $T]	244	244	171	173				1	1	166			Exp|12000			1	1	[url=dialog:test, 165]											
173	MainTask1_173	[主]四處奔波	想不到天下三大勢力「飛龍堡」、「藏劍山莊」、「悲魔山莊」被無憂教以一己之力攻佔，納蘭潛凜潛伏了這麼久，爆發起來當真可怕！	前往[FFFE0D]飛龍堡[-]看看	前往[FFFE0D]飛龍堡[-]看看	[url=pos:test,496,1080,3700]	[url=pos:test,496,1080,3700]	245|258	245	172	174				1					Exp|12000			1	1	[url=dialog:test, 166]				497							
174	MainTask1_174	[主]柳暗花明	這附近有不少敵人巡邏，咦？前方似乎有些騷動，不少無憂教的人在往那個方向聚集，發生什麼事了？	擊敗[FFFE0D]無憂精銳[-]救人	擊敗[FFFE0D]無憂精銳[-]救人	[url=npcanddosomething:test, 1248, 497, autofight, 1]		258		173	175				1					Exp|36000	1248|6	1	1	1	[url=dialog:test, 167]											
175	MainTask1_175	[主]事出有因	是月眉兒姑娘！她竟然在這裡！她是怎麼逃出來的？不行，先救下她再說！	詢問[FFFE0D]月眉兒[-]怎麼會在這裡	詢問[FFFE0D]月眉兒[-]怎麼會在這裡	[url=clientnpcbyidx:test, 118]	[url=clientnpcbyidx:test, 118]	118|258	118	174	176	168								Exp|12000			1	1												
176	MainTask1_176	[主]壯士赴死	原來薔薇姑娘也被抓了來，飛龍堡核心區守衛森嚴，要小心為上！	去[FFFE0D]飛龍堡核心區[-]營救薔薇	去[FFFE0D]飛龍堡核心區[-]營救薔薇	[url=goanddosomething:test, 497, 8100, 6900, gotofuben, 3, 7, 1]		155|258	155	175	177			3|7|1	1			1		Exp|90000			1	1												
177	MainTask1_177	[主]掌上明珠	薔薇姑娘看上去臉色十分蒼白，該不會是他們對薔薇姑娘做了什麼？趕緊去看看她怎麼樣了！	問問[FFFE0D]薔薇[-]怎麼樣了	問問[FFFE0D]薔薇[-]怎麼樣了	[url=clientnpcbyidx:test, 119]	[url=clientnpcbyidx:test, 119]	119|258	119	176	178	170								Exp|12000;Item|212|5			1	1												
178	MainTask1_178	[主]葉落無聲	唉，若是薔薇姑娘見到了如今落葉谷的模樣，恐怕……但是孟大俠已死，總得讓她去見見盡盡孝道。	帶薔薇回[FFFE0D]孟知秋的住所[-]	帶薔薇回[FFFE0D]孟知秋的住所[-]	[url=pos:test,497,6550,9100]	[url=pos:test,497,6550,9100]	70|80|110|247|258	110|247|258	177	179				1					Exp|12000			1	1	[url=dialog:test, 171]				403							
179	MainTask1_179	[主]神醫妙手	薔薇姑娘竟然身中劇毒！難怪臉色如此蒼白，希望胡神醫有辦法化解這種劇毒！	前往忘憂島尋找[FFFE0D]胡神醫[-]	前往忘憂島尋找[FFFE0D]胡神醫[-]	[url=npc:testtt,$F,999]	[url=npc:testtt,$F,999]	66|70|80|109		178	180	172	417							Exp|12000			1	1												
180	MainTask1_180	[主]紅塵舊事	想不到連胡神醫都束手無策……看來薔薇姑娘真的是凶多吉少了……完成她最後的心願吧……	帶薔薇[FFFE0D]四處走走[-]	帶薔薇[FFFE0D]四處走走[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	66|70|80|109	66|109	179	181				1	1	174			Exp|12000			1	1	[url=dialog:test, 173]											
181	MainTask1_181	[主]再回悲魔	薔薇姑娘最後的一些日子，就讓她在悲魔山莊好生度過吧，唉，這些日子以來，也沒有納蘭姑娘的消息……不知道她怎麼樣了。	帶薔薇[FFFE0D]回悲魔山莊[-]	帶薔薇[FFFE0D]回悲魔山莊[-]	[url=pos:test,403,3030,8240]	[url=pos:test,403,3030,8240]	70|80|110	70|80|110	180	182				1					Exp|12000			1	1	[url=dialog:test, 174]				498							
182	MainTask1_182	[主]命懸一線	唉，薔薇姑娘剩下的日子不多了，可是納蘭姑娘如今也身處險境……這可如何是好？	帶薔薇[FFFE0D]去廂房休息[-]	帶薔薇[FFFE0D]去廂房休息[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	42|110|248		181	183				1	1	175			Exp|12000			1	1												
183	MainTask1_183	[主]千鈞一髮	真兒怎麼會在這裡？不知道她能不能救回……唉，連胡神醫都束手無策，恐怕……	詢問[FFFE0D]納蘭真[-]怎麼會在這	詢問[FFFE0D]納蘭真[-]怎麼會在這	[url=clientnpcbyidx:test, 42]	[url=clientnpcbyidx:test, 42]	42|110|248	42|110	182	184	175								Exp|12000			1	1												
184	MainTask1_184	[主]冰雪聰明	這……納蘭姑娘怎麼會出現在悲魔山莊？問問她先前是怎麼回事！	到旁邊等待[FFFE0D]納蘭真[-]出來	到旁邊等待[FFFE0D]納蘭真[-]出來	[url=taskitem:test, $T]	[url=taskitem:test, $T]	248|249|250	249|250	183	185				1	1	177			Exp|12000			1	1	[url=dialog:test, 176]											
185	MainTask1_185	[主]一心多用	真不知該說上蒼有眼，還是該說納蘭姑娘冰雪聰明，薔薇姑娘總算是有救了。也該去寒波谷把月姑娘和紫軒姑娘接回來了。	去[FFFE0D]寒波谷[-]接紫軒和月眉兒	去[FFFE0D]寒波谷[-]接紫軒和月眉兒	[url=clientnpcbyidx:test, 112]	[url=clientnpcbyidx:test, 112]	111|112|251	111|112|251	184	186	177								Exp|12000			1	1												
186	MainTask1_186	[主]眾人團圓	咳咳，這一下悲魔山莊四美齊聚，不知道楊兄以後做什麼打算……哈哈哈，看來他是難逃一劫了！	帶兩人一起[FFFE0D]回悲魔山莊[-]	帶兩人一起[FFFE0D]回悲魔山莊[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	107|108|113|114|116|117|182	107|108|113|114|116|117|182	185	187				1	1	179			Exp|12000			1	1	[url=dialog:test, 178]											
187	MainTask1_187	[主]無憂教主	納蘭潛凜！一切陰謀的主導者，一切禍害的根源，今日我就要和楊兄聯手將你除去！	與納蘭潛凜[FFFE0D]最終對決[-]	與納蘭潛凜[FFFE0D]最終對決[-]	[url=goanddosomething:test, 498, 4570, 3050, gotofuben, 3, 8, 1]		107|108|113|114|115|116|117	107|108|113|114|115|116|117	186	188			3|8|1	1			1		Exp|120000			1	1	[url=scenesound:test, 16]											
188	MainTask1_188	[主]悲魔劍聖	事情總算告一段落了，如今江湖又回歸太平，聽聞曾經有一位大俠名叫獨孤劍，武功絕世，心懷家國大義，我想去瞭解一下他的事蹟，就在此與楊兄告別吧！	跟[FFFE0D]楊影楓[-]道別	跟[FFFE0D]楊影楓[-]道別	[url=clientnpcbyidx:test, 252]	[url=clientnpcbyidx:test, 252]	251|252|254|255|256|257	252	187	189	180						1	1	Exp|24000;Item|1043|1;ComposeValue|1|1			1	1	[url=openwnd:test, ChapterPanel, "ChapterTitle_04"]											
189	MainTask1_189	[主]公孫惜花	襄陽城中消息眾多，去那兒打聽打聽，看看有沒有獨孤大俠的消息，對了！不知道老闆娘那兒是否有消息！	先將等級提升到[FFFE0D]30[-]級	前去[FFFE0D]襄陽城[-]打聽武林大事	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]	251|253|254|255|256|257	251|253|254|255|256|257	188	190	181	99							Exp|32000			1	1						30						
190	MainTask1_190	[主]衡山盧青	自從數年前張姑娘戰死沙場，獨孤大俠隱居江湖後，衡山劍派已是漸漸式微，如今更是不復存在，去見見盧師兄吧！	拜訪[FFFE0D]盧青[-]瞭解獨孤劍事蹟	拜訪[FFFE0D]盧青[-]瞭解獨孤劍事蹟	[url=clientnpcbyidx:test, 121]	[url=clientnpcbyidx:test, 121]	121	121	189	191	182								Exp|32000			1	1	[url=openwnd:test, ChapterPanel, "ChapterTitle_05"]											
191	MainTask1_191	[主]昔日血書	盧師兄看起來氣度不凡，看不出武功深淺，隱隱有一派宗師的風範，當年的事件讓我越來越感興趣了！	跟[FFFE0D]盧青[-]去看當年事發之地	跟[FFFE0D]盧青[-]去看當年事發之地	[url=pos:test, 404, 2250, 6950]	[url=pos:test, 404, 2250, 6950]	122		190	192				1					Exp|24000			1	1					486							
192	MainTask1_192	[主]前塵舊事	衡山劍派如今已不復存在，當年若非劉老前輩在此處遇襲，也不會……唉，五色教當真可惡！	詢問[FFFE0D]盧青[-]當年之事	詢問[FFFE0D]盧青[-]當年之事	[url=clientnpcbyidx:test, 123]	[url=clientnpcbyidx:test, 123]	122|123	123	191	193	184								Exp|32000			1	1												
193	MainTask1_193	[主]劍誅五色	總算要提及正文了，當年劉老前輩是武林中屈指可數的一流高手，突然離世，武林為之震驚，不知道其中到底發生了什麼！	跟隨盧青的回憶[FFFE0D]追朔當年[-]	跟隨盧青的回憶[FFFE0D]追朔當年[-]	[url=pos:test, 486, 2100, 3000]	[url=pos:test, 486, 2250, 6950]	124	124	192	194			4|1|1	1			1		Exp|120000			1	1												
194	MainTask1_194	[主]施禮道謝	原來如此，獨孤大俠年級如此之輕，竟然就已經接任了衡山派掌門，且以一人之力擊敗了五色教刺客！真令人敬佩！	向[FFFE0D]盧青[-]道謝	向[FFFE0D]盧青[-]道謝	[url=clientnpcbyidx:test, 189]	[url=clientnpcbyidx:test, 189]	189	189	193	195	186						1	1	Exp|24000;Item|1083|1			1	1												
195	MainTask1_195	[主]武夷舊事	武夷劍派如今也已沒落，門下弟子恐怕已是不足百人，當年柳中原老前輩被暗算後，連武功都未曾傳下，唉。	準備動身前往[FFFE0D]武夷派[-]	準備動身前往[FFFE0D]武夷派[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	190|126	190|126	194	196				1	1	188			Exp|32000			1	1												
196	MainTask1_196	[主]投石問路	從這兒到武夷劍派還有一段距離，不知道附近有沒有人知道該如何前往。	詢問[FFFE0D]樵夫[-]該往哪走	詢問[FFFE0D]樵夫[-]該往哪走	[url=clientnpcbyidx:test, 125]	[url=clientnpcbyidx:test, 125]	125	125	195	197	188								Exp|32000			1	1												
197	MainTask1_197	[主]九猴秘洞	原來此處便是九猴洞的入口，聽聞當年想入武夷劍派者，都必須闖過九猴洞，進去看看！	到[FFFE0D]九猴洞口[-]看看	到[FFFE0D]九猴洞口[-]看看	[url=pos:test,404,14250,4100]	[url=pos:test,404,14250,4100]	126	126	196	198				1					Exp|24000			1	1	[url=pos:test,487,2200,3600]				487							
198	MainTask1_198	[主]惡猴攔路	據說洞中的猴子機敏狡猾，很不好對付，我倒要看看有多厲害！	闖過[FFFE0D]九猴洞[-]	闖過[FFFE0D]九猴洞[-]	[url=pos:test, 487, 2100, 5600]		126	126	197	199			4|2|1	1			1		Exp|120000			1	1												
199	MainTask1_199	[主]前塵舊事	總算是闖過了九猴洞，此處倒真是一處鍛煉身手的好地方，只可惜武夷劍派，唉……	詢問[FFFE0D]武夷派弟子[-]前塵舊事	詢問[FFFE0D]武夷派弟子[-]前塵舊事	[url=clientnpcbyidx:test, 127]	[url=clientnpcbyidx:test, 127]	127	127	198	200	191								Exp|16000			1	1												
200	MainTask1_200	[主]返回襄陽	真是不湊巧，掌門竟然不在，看來這回只能白跑一趟了，先回襄陽城看看有沒有別的消息吧。	先將等級提升到[FFFE0D]33[-]級	前往襄陽城詢問[FFFE0D]酒樓老闆[-]	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]	128	128	199	201	192	99					1	1	Exp|32000;Item|1053|1			1	1						33						
201	MainTask1_201	[主]周家木匠	當年獨孤大俠行俠仗義救下了不少人，找他們問問也許能夠更瞭解獨孤大俠，不過……想不到獨孤大俠還當過月老啊……	準備[FFFE0D]去看看[-]周木匠一家	準備[FFFE0D]去看看[-]周木匠一家	[url=taskitem:test, $T]	[url=taskitem:test, $T]	132		200	202				1	1	194			Exp|24000			1	1	[url=dialog:test, 193]											
202	MainTask1_202	[主]出手相助	真是膽大包天！光天化日之下竟然強搶姑娘！看我不收拾你們！	擊敗[FFFE0D]流氓[-]救下少女	擊敗[FFFE0D]流氓[-]救下少女	[url=npcanddosomething:test, 1013, 404, autofight, 1]		132	132	201	203				1					Exp|80000	1013|3	1	1	1												
203	MainTask1_203	[主]始料未及	這少女倒是頗為俏麗，難怪引得這些流氓的色心，只是不知道她為何一人在這！	問問[FFFE0D]少女[-]有沒有受傷	問問[FFFE0D]少女[-]有沒有受傷	[url=clientnpcbyidx:test, 131]	[url=clientnpcbyidx:test, 131]	131	131	202	204	195								Exp|32000			1	1												
204	MainTask1_204	[主]一探究竟	我總覺得不遠的地方有人在窺視，不行，我得去探個究竟！	總覺得[FFFE0D]不遠處[-]有人在窺視	總覺得[FFFE0D]不遠處[-]有人在窺視	[url=taskitem:test, $T]	[url=taskitem:test, $T]	132	132	203	205				1	1	197			Exp|24000			1	1	[url=dialog:test, 196]											
205	MainTask1_205	[主]繼續探訪	奇怪，我分明感覺到剛才有人，怎麼這麼快就不見了？難道他也察覺到我了？	還是早點[FFFE0D]去周木匠家[-]吧	還是早點[FFFE0D]去周木匠家[-]吧	[url=clientnpcbyidx:test, 135]	[url=clientnpcbyidx:test, 135]	133|134|135	135	204	206	197								Exp|32000			1	1												
206	MainTask1_206	[主]重返襄陽	周木匠和趙七娘如今生活安好，生了個公子，若是獨孤大俠知道，想必心裡也會感到十分安慰。	離開這裡回去找[FFFE0D]酒樓老闆[-]	離開這裡回去找[FFFE0D]酒樓老闆[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	133|134|136|137	133|134|136	205	207				1	1	199			Exp|24000			1	1	[url=dialog:test, 198]											
